1000 100000	
841	782	34
518	558	9
679	458	9
80	121	30
167	841	49
989	577	34
196	119	17
358	154	27
114	973	7
887	281	27
739	662	21
525	45	18
599	829	22
85	397	45
312	956	17
626	741	6
246	292	17
568	81	12
672	507	38
360	414	30
186	231	28
102	2	50
864	43	30
878	477	37
568	684	29
515	1	49
783	180	21
964	583	36
929	464	26
180	261	26
764	348	44
955	173	47
527	535	20
76	543	12
730	166	3
740	12	27
775	56	22
642	981	19
894	704	30
570	669	38
590	51	28
322	173	47
994	939	2
160	564	13
322	633	12
341	304	2
134	984	41
90	591	9
44	650	4
171	1	22
913	994	28
481	947	4
878	240	19
683	749	20
980	143	40
702	860	29
774	694	36
164	301	8
519	331	5
754	335	23
655	694	6
652	296	7
472	617	44
871	18	32
965	946	42
126	502	5
975	962	2
123	199	6
446	594	27
856	396	22
941	598	35
901	683	48
942	407	43
649	585	45
458	144	31
888	470	33
799	598	42
364	457	37
569	197	28
388	510	32
804	262	33
967	505	25
96	449	43
260	27	6
783	316	40
599	344	22
960	327	22
438	339	5
390	640	14
593	919	14
747	395	8
943	799	5
969	469	22
789	950	25
809	47	28
996	828	2
744	651	23
666	407	25
740	952	34
182	533	34
228	328	25
176	132	39
430	712	13
401	14	15
97	745	33
404	899	25
967	225	7
220	900	15
624	161	45
14	695	6
484	334	41
586	630	10
515	942	10
82	767	25
929	69	10
273	261	35
64	966	39
693	606	19
7	175	43
150	263	5
472	39	6
384	50	30
779	144	32
580	508	46
820	979	6
545	73	50
868	959	43
411	733	25
769	323	29
854	647	35
586	58	44
576	62	10
801	839	4
883	291	2
161	700	27
913	565	18
801	722	33
941	802	48
296	226	48
436	301	11
780	441	44
671	335	44
304	581	3
555	167	19
282	320	23
520	110	47
394	944	23
96	586	15
785	251	50
844	349	45
740	235	23
609	25	5
858	590	12
937	539	1
871	275	11
227	389	46
509	507	6
469	334	29
993	85	24
632	605	46
948	576	22
207	984	19
830	455	7
72	426	2
239	583	27
370	365	16
104	606	28
561	174	30
976	905	32
140	706	25
85	907	38
311	799	4
472	125	32
273	520	40
628	40	50
703	86	15
422	856	31
701	900	5
246	224	18
441	905	33
592	973	32
62	313	39
816	413	8
91	577	39
793	962	13
124	889	38
384	651	28
405	821	29
797	796	8
67	50	43
771	611	11
529	876	50
842	894	44
530	751	28
234	927	35
667	86	29
353	550	7
524	473	43
421	419	11
719	963	42
850	748	7
416	453	3
571	732	50
885	535	34
946	60	11
246	823	30
435	149	38
601	745	12
848	642	43
618	498	19
638	256	13
34	110	36
211	714	27
664	120	13
729	259	47
175	448	18
166	125	4
652	299	46
707	640	41
763	572	11
458	594	12
690	983	2
294	352	19
382	288	41
135	924	18
314	331	43
60	550	37
276	891	34
726	886	14
853	422	40
224	717	21
809	609	10
356	909	50
579	943	16
531	16	46
686	560	25
720	766	15
830	285	37
14	583	3
572	205	23
55	317	26
862	778	43
813	30	35
709	443	24
55	838	15
109	698	13
785	528	27
568	254	6
926	725	19
768	864	26
181	896	45
663	147	19
627	584	28
420	545	50
677	126	19
278	295	15
159	898	5
861	382	15
88	142	50
220	314	8
992	787	22
171	376	33
593	88	12
321	252	43
167	911	20
666	810	29
997	9	36
308	454	30
185	121	25
900	328	32
172	117	9
905	396	50
161	249	20
349	843	4
923	473	23
741	10	29
477	157	7
349	973	39
729	725	22
399	76	27
713	345	19
785	288	4
387	704	34
226	625	8
321	444	24
487	427	14
829	642	32
401	170	4
619	966	32
539	500	16
9	994	27
121	193	13
164	691	19
476	720	6
729	834	16
211	615	45
564	312	40
926	995	13
686	585	4
678	271	45
868	296	38
835	554	31
798	339	21
783	116	37
557	601	33
36	993	25
724	231	19
520	649	20
351	985	27
176	850	2
342	37	14
180	901	24
866	988	46
32	298	32
515	55	11
902	934	4
721	60	30
987	780	47
152	744	3
129	489	47
524	774	14
17	777	39
7	150	10
846	171	16
425	197	26
247	426	20
896	267	6
264	429	36
11	771	18
658	173	47
346	93	17
958	992	23
14	295	34
929	937	20
90	905	12
490	680	5
894	635	3
650	181	43
629	119	4
952	249	37
925	177	24
531	643	46
476	901	29
826	950	14
757	455	25
811	269	11
370	336	43
486	776	49
615	785	35
124	749	14
254	999	49
109	99	13
437	333	34
895	398	3
173	258	31
538	564	7
291	445	3
690	782	14
317	708	36
510	506	23
677	982	32
577	708	33
279	160	21
603	811	42
173	219	41
371	351	43
211	336	9
568	913	28
395	341	6
146	720	50
308	776	42
959	822	45
78	339	10
622	37	21
215	497	41
123	659	23
199	966	43
323	677	30
834	412	27
830	22	24
493	186	21
815	295	31
701	890	35
113	294	30
320	440	37
108	997	3
855	47	13
16	268	33
178	320	22
778	292	42
351	448	8
826	943	19
685	753	12
162	529	49
181	729	19
453	67	34
466	295	6
13	992	48
386	869	20
371	297	20
365	988	49
824	654	31
690	358	47
196	142	49
902	291	48
262	598	19
176	860	24
627	414	26
885	538	38
328	897	44
969	887	22
625	765	33
839	779	50
969	850	27
943	30	17
206	744	21
548	702	45
419	786	46
568	438	35
906	264	45
22	905	24
24	851	49
95	737	15
76	140	25
790	504	36
385	307	10
82	328	35
146	106	48
992	447	21
886	833	41
591	351	45
348	926	22
194	15	28
47	404	24
365	932	40
580	354	4
822	712	39
684	669	45
283	737	8
628	525	35
64	469	45
668	395	40
794	810	21
382	123	11
632	394	35
497	385	10
100	338	27
486	489	37
508	136	10
845	941	42
746	388	12
173	319	34
820	515	22
160	318	43
713	967	16
660	358	22
568	487	31
103	999	22
474	608	48
283	274	34
675	547	12
86	923	19
994	208	16
661	443	23
790	274	2
558	2	30
715	493	40
613	959	26
849	706	12
287	279	25
631	804	8
221	587	33
217	687	22
951	468	7
812	242	13
865	397	31
713	995	19
382	387	41
458	783	47
596	968	1
991	832	40
722	455	44
867	687	49
503	918	21
715	434	9
906	512	41
357	130	43
471	292	40
94	973	16
738	480	41
774	309	42
498	575	19
99	282	9
723	492	21
144	343	42
718	979	33
629	70	48
70	538	14
586	68	48
297	693	29
105	813	43
959	194	22
773	874	32
856	520	14
625	348	33
626	299	13
971	317	45
875	72	41
802	670	25
770	730	25
153	354	44
346	21	17
445	738	10
560	491	33
509	866	9
898	461	22
441	889	45
85	569	18
778	829	8
179	63	14
580	109	39
335	490	27
263	633	41
892	138	23
229	839	42
522	407	15
160	297	25
636	346	26
319	568	17
625	524	23
975	53	31
547	284	20
381	819	46
6	183	32
740	700	2
900	498	32
544	782	18
372	551	43
871	945	43
729	902	39
325	115	13
396	649	39
424	234	41
127	235	28
697	252	14
799	959	18
245	489	7
999	800	19
499	199	27
70	276	25
117	591	30
377	105	48
373	155	16
240	380	50
263	787	18
813	682	9
719	304	27
586	71	17
642	491	36
320	862	24
588	273	2
787	576	45
930	403	33
909	924	9
274	557	1
968	767	3
629	356	50
991	485	5
368	964	48
128	821	44
899	85	32
774	758	5
702	125	6
516	198	19
856	908	32
527	694	25
220	951	15
626	206	18
160	432	10
627	50	12
99	336	17
225	525	15
686	249	28
570	584	39
10	905	34
122	501	14
309	591	48
657	537	15
898	663	17
805	774	2
612	539	9
411	299	20
38	279	15
327	188	46
377	940	47
557	581	23
197	199	46
628	588	37
12	691	3
22	390	49
48	417	27
591	476	17
36	708	45
697	235	48
483	890	18
923	439	50
390	671	31
363	761	4
67	590	27
771	979	38
309	86	46
48	989	4
583	120	50
49	396	8
312	429	23
175	196	25
904	203	15
306	5	39
435	24	10
53	629	40
970	763	23
142	677	42
610	342	40
186	880	46
718	550	6
839	351	14
82	216	50
56	574	13
89	164	44
531	788	37
189	259	35
945	725	20
941	948	27
961	759	3
887	752	12
398	456	36
490	742	7
961	820	49
537	451	43
730	615	48
247	733	8
167	809	41
486	971	16
504	397	20
769	611	32
871	914	43
418	264	31
325	664	8
835	762	30
921	501	45
872	132	12
456	851	11
744	421	10
249	290	41
803	191	49
255	411	38
173	27	33
432	957	48
696	469	23
723	562	45
543	846	18
605	30	38
44	563	22
919	471	20
925	539	4
796	80	33
229	864	22
111	574	45
549	908	44
978	994	42
815	326	43
820	344	17
193	470	23
83	98	49
702	968	45
294	955	24
789	139	25
234	145	45
26	478	31
526	318	41
541	696	38
117	985	22
185	94	21
750	386	38
610	952	41
912	116	10
108	622	21
500	981	10
191	783	23
798	494	28
548	470	8
703	305	14
541	508	50
165	523	44
10	896	38
397	766	29
519	318	10
430	787	50
984	146	18
455	762	28
191	525	12
299	120	45
821	918	38
939	133	43
519	885	14
962	779	2
738	589	28
970	780	49
345	737	13
925	901	21
836	6	30
502	333	36
819	341	18
129	798	31
521	877	3
199	968	36
575	77	11
866	406	42
254	150	19
835	861	37
408	525	43
543	380	20
37	682	9
305	898	27
229	993	45
804	11	5
641	631	21
474	899	13
769	710	10
956	934	36
341	59	34
597	510	33
447	932	45
38	150	16
293	359	23
18	502	30
664	275	6
466	753	32
464	206	1
787	162	48
168	587	9
564	833	46
464	215	17
661	819	48
853	865	44
914	531	7
950	583	16
449	308	19
362	672	16
73	915	24
862	921	42
230	947	12
581	149	13
679	871	44
51	266	29
172	64	3
957	907	48
624	691	24
440	9	44
660	830	15
249	787	11
387	170	18
873	92	22
497	900	42
899	502	9
910	840	1
566	72	13
456	967	25
689	220	41
559	894	43
668	413	11
583	681	38
152	648	1
26	125	36
957	642	47
410	31	16
476	992	7
380	732	3
832	106	47
166	364	3
478	667	25
87	790	41
785	900	10
784	966	32
738	217	16
613	880	37
142	852	32
615	66	8
739	41	42
6	144	31
664	343	21
878	312	20
845	19	23
154	981	24
918	497	24
949	824	26
303	326	46
29	693	18
422	597	27
586	779	25
450	826	20
649	454	17
820	332	11
896	481	12
883	544	28
834	231	47
367	912	34
618	959	28
262	702	44
576	48	43
338	719	37
240	591	5
491	323	8
207	286	12
49	369	27
256	963	20
83	910	12
37	121	35
860	977	19
22	639	22
179	19	19
974	605	36
657	748	37
224	323	39
456	384	38
393	568	19
523	110	19
404	996	41
513	113	27
120	202	6
832	269	5
880	674	45
597	917	30
572	681	42
696	197	46
254	827	44
158	390	8
3	799	28
872	110	22
506	724	15
85	756	18
219	897	10
130	753	34
30	899	19
645	216	44
359	383	4
777	590	6
37	921	10
566	495	27
518	427	37
871	258	36
968	121	11
789	457	17
801	181	45
496	882	26
908	655	28
623	340	50
10	588	39
911	450	5
614	579	35
776	462	6
600	470	35
959	713	36
420	382	16
448	301	22
616	321	7
449	383	33
888	323	7
147	229	10
739	879	31
742	808	40
874	964	12
319	543	27
881	800	44
424	982	17
201	215	2
641	614	44
173	117	16
986	540	18
25	781	6
650	847	16
396	964	26
360	574	11
751	861	6
418	442	31
99	225	47
97	482	3
525	81	18
722	299	28
640	27	22
419	641	14
421	783	22
613	785	45
539	974	7
275	149	42
319	869	9
169	235	46
254	118	4
5	458	13
244	954	34
144	924	48
278	428	28
677	785	31
900	152	50
589	10	33
994	661	43
787	59	9
416	449	4
460	548	33
306	834	40
192	178	2
632	117	16
397	645	3
610	370	29
492	121	23
869	621	44
50	133	11
135	728	15
861	692	44
739	737	49
30	139	26
173	275	23
380	488	9
871	272	47
508	531	30
60	276	34
414	760	30
387	684	31
174	4	1
781	714	49
620	604	1
853	135	15
40	412	13
677	975	50
343	311	6
411	860	32
881	359	49
787	598	48
863	322	27
322	317	2
426	713	29
444	631	49
653	654	1
909	984	32
879	735	35
164	883	34
938	75	29
844	616	32
898	842	24
89	468	49
453	38	47
111	33	27
39	674	6
946	332	40
296	174	40
110	872	2
582	707	34
232	161	49
409	696	41
450	340	37
407	359	33
483	433	47
863	80	16
754	207	16
723	153	45
13	25	36
175	901	41
996	191	29
971	930	4
871	688	2
140	683	38
304	813	23
908	650	43
721	744	34
835	978	10
190	28	28
989	451	28
665	291	47
453	348	4
221	236	20
102	813	20
730	325	15
710	220	2
899	384	42
613	634	13
880	637	12
304	864	34
611	478	19
475	761	43
883	385	23
832	859	44
220	762	46
474	478	41
249	140	37
127	984	19
876	845	50
237	12	14
696	770	43
960	295	21
522	251	50
131	771	7
741	844	11
23	104	8
371	578	23
813	257	12
447	309	37
481	672	50
196	826	40
703	534	1
393	639	45
10	854	6
922	73	42
515	41	10
693	377	18
866	162	18
275	88	31
107	942	21
486	674	10
17	682	32
477	259	29
391	681	44
168	821	15
709	485	5
362	512	2
944	37	40
616	705	47
169	668	21
354	377	36
777	429	7
928	130	50
99	77	41
83	974	43
513	455	46
746	744	46
118	960	44
293	825	6
736	425	34
937	205	45
108	182	38
133	560	39
865	634	34
874	199	11
538	62	16
924	688	17
816	554	25
599	642	42
441	773	1
611	176	50
111	664	37
892	70	39
19	678	5
999	641	31
946	124	46
395	458	50
526	176	6
358	719	48
525	280	46
998	287	29
184	123	19
146	552	10
645	749	13
9	171	21
441	701	47
921	634	30
115	19	30
834	295	48
230	379	50
181	610	47
76	300	16
701	526	49
192	364	42
186	924	17
545	132	38
92	766	16
114	463	23
953	185	35
373	841	6
795	491	47
603	965	50
355	286	34
389	443	7
83	524	3
720	827	46
865	822	5
543	276	39
367	706	23
315	593	34
935	956	18
251	932	38
478	112	42
54	168	5
334	393	21
904	171	39
916	607	22
748	547	5
901	964	41
117	160	39
564	831	44
73	225	32
955	312	28
355	880	37
144	13	17
859	705	24
241	790	50
854	81	39
512	825	42
660	711	46
538	914	19
651	869	21
5	281	26
683	922	46
526	887	11
400	582	44
972	968	8
556	655	7
459	98	34
518	607	1
857	681	1
977	620	39
524	525	15
801	772	45
763	600	12
432	625	33
850	72	4
555	340	1
500	238	13
278	924	24
264	522	7
53	325	4
800	796	34
369	850	50
63	317	4
486	237	1
760	890	15
85	393	1
336	18	37
628	543	9
665	533	15
252	659	39
791	654	43
89	348	33
829	414	48
181	325	29
565	973	45
133	508	25
624	799	37
272	725	44
869	812	2
988	407	49
935	171	30
995	661	39
953	964	21
525	51	5
874	675	12
123	665	29
846	90	7
401	166	49
229	820	48
808	451	40
240	39	36
645	498	29
348	597	39
910	692	49
235	63	17
422	949	43
993	860	3
817	807	37
499	272	23
349	471	4
413	170	38
187	710	28
469	998	27
547	888	11
980	144	23
634	421	23
341	529	27
759	15	12
457	973	25
661	513	12
715	967	39
405	794	10
198	374	32
868	946	29
358	330	20
544	965	17
377	438	12
324	195	48
264	129	2
435	388	48
410	701	46
162	991	32
563	731	32
22	922	43
570	420	43
352	695	26
244	17	42
737	452	5
412	221	13
800	735	7
293	269	37
863	816	46
695	756	11
783	253	1
523	122	23
404	347	7
350	615	18
712	228	22
960	568	49
65	43	15
766	917	20
749	246	19
597	272	12
81	293	31
318	889	22
644	875	46
407	919	21
238	296	19
165	837	39
240	806	8
217	781	47
309	343	37
821	721	49
70	158	31
24	315	24
257	280	49
658	574	11
679	850	16
455	817	25
936	651	9
208	468	25
903	456	10
64	660	33
269	928	6
411	3	29
976	76	31
655	124	28
718	255	19
310	971	44
860	422	32
319	398	35
976	387	10
740	94	19
514	564	42
363	681	31
930	207	36
461	146	24
885	338	30
56	611	10
844	979	1
991	702	47
165	713	16
41	317	27
953	694	16
495	748	21
951	766	6
797	176	47
730	849	47
161	261	7
312	797	34
217	855	49
527	485	18
332	839	41
133	520	4
433	274	34
552	971	32
425	41	19
451	496	18
220	635	25
461	335	50
194	538	8
806	288	33
464	623	36
544	870	31
683	14	2
546	384	33
873	999	36
314	62	50
834	968	49
121	800	2
334	586	22
473	179	11
466	511	50
105	117	22
813	118	32
61	105	41
100	902	4
866	271	45
595	114	31
988	289	19
995	408	1
391	448	42
848	346	46
495	562	25
687	286	45
311	676	3
795	327	1
266	769	24
741	610	10
660	668	21
381	429	6
767	192	25
795	362	1
266	990	22
594	189	3
442	684	46
973	665	13
314	705	40
945	758	42
518	327	43
386	108	14
297	424	4
159	993	14
685	887	21
118	818	34
8	549	28
211	481	25
297	684	43
735	553	12
629	441	14
854	200	21
170	148	24
153	426	6
578	310	45
351	889	41
927	371	16
250	67	8
197	868	24
575	569	34
716	825	50
210	344	45
959	291	36
7	939	34
558	22	28
777	181	23
142	592	9
460	226	30
385	44	7
665	169	41
476	784	30
806	229	32
356	733	45
215	305	46
71	389	14
753	206	37
227	881	12
459	183	41
180	398	31
210	796	23
404	266	23
34	640	2
402	937	33
637	300	18
475	656	10
561	121	50
433	660	28
232	662	22
708	456	44
137	633	43
2	992	49
536	403	35
827	250	11
847	5	48
630	917	33
7	746	6
645	459	9
500	752	44
404	348	12
709	490	12
549	612	18
657	214	24
731	180	24
627	789	17
285	31	6
487	542	32
270	879	2
447	960	26
829	271	43
928	731	10
346	936	36
82	45	44
719	496	19
909	4	24
565	588	9
592	579	29
966	224	28
642	120	17
724	861	10
359	388	38
74	524	46
251	335	6
431	806	3
709	337	8
396	279	25
98	227	47
51	656	7
794	403	14
509	258	33
540	820	2
419	380	39
386	791	36
987	271	48
913	518	19
316	273	24
156	423	4
940	301	26
436	895	36
881	96	5
498	13	42
328	615	47
584	496	38
726	144	18
840	773	2
616	96	47
711	450	22
660	171	41
521	143	42
723	794	1
902	804	16
935	587	17
335	551	49
985	552	42
623	930	10
828	206	24
952	768	35
363	291	13
70	8	14
569	463	24
328	797	47
416	467	44
596	634	49
629	424	15
750	397	31
909	855	36
640	615	41
808	51	26
689	13	2
369	84	14
717	464	10
185	867	20
940	105	49
881	591	31
43	57	8
262	48	9
281	613	2
131	901	21
663	247	27
49	886	32
828	864	36
871	618	34
689	854	29
628	827	1
245	562	46
653	302	41
166	878	41
919	929	46
338	164	36
69	714	49
776	894	8
855	578	20
915	219	35
386	377	12
676	204	27
890	945	49
75	203	40
264	864	44
85	702	40
784	542	41
402	162	22
483	578	39
677	620	36
486	608	7
720	320	44
754	99	46
81	195	5
550	805	31
608	787	49
279	567	15
661	625	11
557	716	9
599	938	50
299	698	22
196	197	30
712	600	15
690	864	41
513	621	31
979	870	22
499	677	18
967	381	23
872	486	12
211	917	23
256	349	38
519	979	31
934	95	16
25	784	22
829	817	25
451	427	32
293	694	40
16	715	47
861	694	36
241	185	50
839	4	38
577	601	35
366	743	7
572	71	17
566	573	14
201	549	6
958	303	15
862	805	28
458	925	24
153	135	49
578	763	38
294	432	41
355	243	5
344	960	7
593	214	10
735	940	7
696	593	35
366	513	31
838	936	30
916	830	46
358	758	16
866	338	37
71	606	48
558	704	24
226	865	4
408	930	48
513	566	26
556	548	20
408	355	14
934	735	13
679	22	33
787	137	11
648	556	28
689	704	37
316	689	33
978	943	27
252	170	32
38	217	40
230	658	5
18	745	28
193	706	27
873	716	39
803	902	23
12	962	5
789	692	21
225	353	12
176	880	35
937	980	3
351	546	43
160	166	25
599	926	29
69	311	11
230	930	8
405	595	36
891	355	32
984	517	23
417	573	31
608	998	37
881	412	19
224	650	41
507	567	35
634	817	18
791	279	26
576	371	34
991	685	35
253	752	32
626	643	4
285	507	22
657	321	31
619	872	22
323	324	41
212	400	24
857	384	29
63	146	24
349	194	7
423	338	48
207	505	21
288	402	41
357	617	49
688	220	25
520	488	24
292	544	42
138	5	22
201	941	22
796	855	40
506	959	12
858	119	12
850	152	36
357	500	8
438	406	40
904	574	5
767	22	12
951	663	44
836	481	43
65	483	13
124	560	14
232	909	39
598	243	6
852	465	28
140	368	34
681	230	8
879	950	42
429	814	32
360	90	44
712	126	50
697	246	14
197	739	45
586	237	36
628	26	44
219	858	3
928	29	18
110	906	9
233	56	49
29	552	18
309	102	9
628	272	7
720	666	16
355	643	21
732	526	46
622	391	49
519	700	4
253	60	38
257	488	19
137	542	43
969	30	28
617	283	37
720	31	35
655	391	5
966	955	44
698	830	34
571	201	1
225	76	7
27	5	6
590	819	7
788	972	32
926	498	23
996	628	31
981	904	23
57	831	17
600	760	48
475	884	44
235	831	27
314	793	5
902	272	12
597	874	31
150	419	14
798	384	28
801	490	24
520	259	22
308	165	40
399	65	11
256	213	34
820	347	39
219	77	35
929	515	44
994	90	5
405	862	13
12	995	35
78	419	10
237	319	29
221	755	48
554	988	3
106	454	3
109	163	47
568	531	9
937	835	50
245	391	8
272	774	15
235	653	23
678	109	17
16	314	22
848	397	17
764	376	11
647	176	10
793	732	47
854	699	25
733	621	22
1000	872	12
843	50	20
872	567	20
514	587	36
680	328	36
276	42	7
234	486	9
640	381	49
745	54	13
658	395	14
238	291	34
247	24	42
228	229	36
27	979	14
346	475	3
346	143	50
927	295	39
131	918	6
754	764	31
732	51	1
251	491	34
264	477	46
546	275	11
997	207	10
132	745	16
425	582	32
847	300	45
858	867	37
74	322	48
784	721	33
177	171	32
369	185	26
907	805	45
891	550	2
590	207	3
204	470	2
686	572	50
391	20	17
947	57	21
905	789	33
568	881	4
592	512	39
904	121	36
944	956	30
467	699	38
294	456	26
165	886	46
746	852	17
571	373	35
649	381	50
51	441	15
987	12	47
95	294	35
36	26	35
325	53	40
623	622	3
450	831	16
890	44	7
271	498	7
983	630	45
779	132	20
598	358	17
897	422	2
672	67	45
981	574	42
793	4	1
792	423	14
87	620	4
901	379	20
882	51	6
155	675	13
429	797	13
689	329	42
889	195	37
538	971	49
374	625	41
881	36	39
548	113	10
472	741	34
920	756	9
983	821	1
389	551	45
183	157	29
882	280	48
568	861	37
722	97	23
884	515	18
160	530	28
693	585	48
671	469	33
799	931	10
819	652	40
938	696	20
538	370	1
859	71	35
848	327	23
776	494	49
769	369	13
247	718	16
747	850	12
500	273	1
616	340	38
661	271	36
529	708	22
476	16	36
101	398	18
988	86	3
410	767	32
88	864	21
645	828	17
104	483	20
53	434	23
452	431	48
987	308	7
380	858	19
698	861	18
588	644	25
836	382	50
805	180	38
483	248	15
455	871	18
510	460	13
653	91	28
874	713	43
980	693	8
584	661	36
912	49	27
821	613	18
99	494	25
149	23	50
948	706	25
611	449	11
109	828	4
496	104	11
456	43	33
244	705	34
89	506	23
349	56	31
193	2	40
220	293	42
676	720	6
939	620	17
538	172	19
565	463	5
655	836	39
309	941	7
3	344	21
870	491	23
258	482	13
177	168	30
423	457	29
845	51	5
747	644	19
449	212	32
323	699	19
313	92	13
723	812	48
263	757	2
964	481	41
469	374	26
285	778	38
889	995	17
783	941	42
753	486	34
618	84	12
342	73	5
47	886	44
889	967	47
15	269	21
218	984	27
726	478	49
110	593	10
630	750	12
469	253	33
542	407	38
757	870	30
841	795	41
732	915	1
784	882	37
466	610	18
523	670	3
50	830	27
470	256	13
875	835	14
751	24	35
680	362	7
999	625	44
264	971	30
1000	988	22
508	447	10
98	890	41
602	321	34
835	540	22
3	960	50
496	526	33
192	838	12
262	646	34
806	9	40
143	296	48
467	680	3
923	284	49
410	37	8
866	525	9
820	398	50
499	921	24
747	865	3
528	601	31
915	659	13
631	223	3
446	449	3
883	29	3
387	846	28
660	595	39
224	777	49
934	387	42
844	784	2
998	379	25
994	3	14
295	369	33
243	573	43
643	19	28
324	310	45
134	602	44
360	588	20
660	652	9
982	393	31
24	641	13
817	592	32
943	962	25
347	169	27
879	793	25
76	892	45
114	204	17
375	948	45
828	174	43
825	118	41
351	105	26
626	733	11
642	29	22
130	584	34
499	601	44
812	950	33
260	502	30
14	32	48
297	541	43
802	744	19
8	95	29
433	208	6
731	720	3
531	25	35
394	995	33
713	313	37
820	904	7
928	479	30
479	852	14
819	562	42
408	410	20
274	839	46
384	21	34
886	197	28
8	534	19
512	498	39
374	226	11
231	105	11
858	615	32
362	415	18
631	579	26
731	946	19
927	866	49
762	974	23
286	12	14
484	547	43
638	40	43
245	991	33
216	531	19
692	837	33
844	512	7
258	728	47
841	908	3
342	421	22
661	566	11
244	362	40
958	62	37
261	454	29
764	864	6
165	126	13
429	982	5
561	320	23
57	29	27
292	165	44
849	218	43
569	166	9
953	97	13
457	11	26
810	424	8
773	341	6
540	723	13
365	4	8
536	42	12
970	567	10
694	327	1
73	18	36
489	527	45
132	767	3
100	833	27
575	706	9
868	812	1
939	965	7
615	628	43
956	996	9
805	342	40
890	144	22
518	240	11
436	431	2
358	362	36
359	985	50
94	400	43
357	781	23
414	830	19
930	736	14
253	883	8
989	822	20
158	281	29
459	229	22
592	249	46
559	385	1
328	572	33
513	906	12
67	143	30
408	805	18
56	750	11
366	275	13
153	551	26
701	306	37
134	959	1
108	955	18
208	726	21
247	269	31
413	28	46
85	313	13
399	295	11
360	619	9
835	475	3
554	513	17
243	79	46
982	971	18
57	146	14
289	619	38
573	149	36
455	755	5
344	538	34
848	133	20
895	858	26
40	840	42
955	723	11
680	11	25
99	160	28
822	283	40
241	796	20
234	477	2
268	253	45
262	544	15
961	273	11
455	292	8
23	295	26
129	117	34
524	45	2
935	284	39
931	817	17
20	444	20
86	814	32
563	427	26
563	286	25
276	832	42
422	266	20
827	728	30
169	800	28
944	74	3
694	701	3
945	115	4
703	60	27
428	259	10
674	69	13
752	154	26
551	287	40
668	482	9
661	113	39
509	471	24
488	974	48
117	651	21
165	272	2
71	740	46
192	330	15
657	681	36
415	490	17
385	207	14
246	273	25
21	781	12
568	650	32
643	45	9
735	70	45
989	535	47
659	232	26
860	2	4
419	407	50
306	583	49
563	595	2
545	802	44
761	497	10
972	4	21
32	787	3
93	496	3
128	629	35
524	433	36
245	546	46
521	546	14
478	714	31
22	15	30
407	653	48
777	589	35
634	691	29
318	572	41
387	566	15
589	955	44
830	380	26
45	439	41
507	117	4
567	281	5
425	98	4
30	449	20
794	102	5
320	328	15
496	709	48
369	934	27
963	747	47
619	590	23
317	582	20
7	369	33
295	244	21
705	634	29
574	95	23
330	230	10
219	26	24
364	531	2
534	906	14
851	321	11
235	215	3
311	445	3
123	48	7
512	480	30
643	708	35
8	606	26
743	314	16
802	606	28
715	141	48
79	505	23
830	825	49
318	910	33
152	641	30
637	461	46
950	762	2
760	976	31
276	903	2
826	483	9
208	650	7
228	84	50
343	85	22
913	642	4
823	916	35
652	870	39
952	45	10
278	819	24
782	759	12
509	452	37
294	435	41
96	428	11
703	558	17
1000	243	3
422	616	15
976	152	20
616	672	49
592	389	37
806	616	14
528	662	25
981	207	40
307	377	44
110	632	36
569	855	31
656	849	24
969	685	9
58	433	12
866	975	3
830	351	21
502	459	13
423	349	20
48	789	48
87	561	48
115	541	35
142	478	45
489	197	46
451	197	41
219	827	47
650	83	37
312	42	1
711	720	3
395	495	23
671	980	49
457	399	48
571	221	3
267	304	23
291	436	27
849	937	12
156	853	27
469	586	37
579	672	33
315	562	41
139	565	11
997	255	44
714	861	43
754	286	1
988	528	39
7	303	27
139	701	18
838	45	26
979	742	20
657	135	5
909	422	23
638	255	33
870	229	26
773	606	3
567	447	12
462	206	50
98	21	1
595	444	29
294	994	25
944	640	30
124	83	18
800	42	49
926	927	31
354	208	41
437	918	16
221	741	45
696	813	27
843	507	33
659	709	46
263	675	1
55	959	29
138	250	37
724	905	19
2	60	38
808	507	20
515	105	45
316	654	18
667	442	12
221	165	9
194	786	12
216	408	41
11	724	8
645	613	8
297	21	8
502	245	32
243	808	11
60	80	11
81	841	5
91	774	39
105	501	18
604	784	11
822	452	12
282	289	15
961	594	27
490	75	14
179	620	11
578	426	22
9	784	24
469	575	45
982	952	11
354	726	8
555	985	17
776	691	18
52	213	42
899	310	12
164	478	4
492	777	28
658	78	40
683	129	2
981	332	46
435	308	26
762	428	38
942	519	12
248	92	13
302	202	3
757	870	18
982	573	19
805	773	21
563	429	27
857	343	5
288	588	12
365	166	17
592	641	6
180	360	5
627	905	42
611	496	16
998	776	8
895	67	20
220	174	17
399	711	22
408	919	49
755	763	23
443	654	21
70	464	1
469	658	24
289	889	35
60	94	38
216	392	46
88	979	43
140	835	3
638	216	30
338	827	23
791	459	50
920	541	50
65	723	40
382	429	42
848	31	48
585	804	9
227	137	9
849	962	6
963	24	9
775	75	50
525	596	48
198	877	13
534	600	2
115	695	29
198	906	12
740	152	5
72	935	39
709	305	47
418	160	2
362	653	23
63	46	8
869	306	11
223	184	40
860	594	7
527	121	12
939	982	15
624	100	14
51	312	35
455	91	13
818	895	9
788	584	40
225	679	50
790	600	48
178	441	46
685	96	46
88	336	5
